frame,rep,angle,level,score
396,4,131.15985,GOOD,9
397,4,116.33017,GOOD,9
398,4,123.36095,GOOD,9
399,4,119.07204,GOOD,9
400,4,95.85425,GOOD,9
401,4,104.42453,GOOD,9
402,4,114.4812,GOOD,9
403,4,115.88724,GOOD,9
404,4,138.40593,GOOD,9
405,4,152.33191,GOOD,9
406,4,165.34842,GOOD,10
407,4,148.63371,GOOD,9
408,4,178.56609,GOOD,10
409,4,159.96712,GOOD,9
410,4,179.70036,GOOD,10
411,4,156.69356,GOOD,9
412,4,142.08719,GOOD,9
413,4,154.62794,GOOD,9
414,4,106.622986,GOOD,9
415,4,103.68524,GOOD,9
416,4,117.47812,GOOD,9
417,4,129.50536,GOOD,9
418,4,127.82803,GOOD,9
419,4,130.64944,GOOD,9
420,4,132.81424,GOOD,9
421,4,137.86256,GOOD,9
422,4,130.45709,GOOD,9
423,4,124.795166,GOOD,9
424,4,92.07864,GOOD,9
425,4,126.555725,GOOD,9
426,4,133.00879,GOOD,9
427,4,132.35123,GOOD,9
428,4,131.0128,GOOD,9
429,4,128.27042,GOOD,9
430,4,127.94615,GOOD,9
431,4,131.13892,GOOD,9
432,4,131.63255,GOOD,9
433,4,142.17154,GOOD,9
434,4,154.04349,GOOD,9
435,4,146.32413,GOOD,9
436,4,143.92424,GOOD,9
437,4,146.96167,GOOD,9
438,4,146.39734,GOOD,9
439,4,149.77344,GOOD,9
440,4,153.22426,GOOD,9
441,4,155.1804,GOOD,9
442,4,154.37642,GOOD,9
443,4,156.19464,GOOD,9
444,4,157.5891,GOOD,9
445,4,159.6403,GOOD,9
446,4,164.26729,GOOD,10
447,4,167.43692,GOOD,10
448,4,169.75296,GOOD,10
449,4,170.2939,GOOD,10
450,4,171.33363,GOOD,10
451,4,167.67033,GOOD,10
452,4,166.34232,GOOD,10
453,4,163.0931,GOOD,10
454,4,161.46626,GOOD,10
455,4,156.70532,GOOD,9
456,4,155.78123,GOOD,9
457,4,151.57631,GOOD,9
458,4,147.30948,GOOD,9
459,4,147.56667,GOOD,9
460,4,143.25288,GOOD,9
461,4,156.23845,GOOD,9
462,4,149.51028,GOOD,9
463,4,143.634,GOOD,9
464,4,143.16188,GOOD,9
465,4,135.81296,GOOD,9
466,4,135.3347,GOOD,9
467,4,127.87463,GOOD,9
468,4,125.25374,GOOD,9
469,4,131.28671,GOOD,9
470,4,118.04242,GOOD,9
471,4,125.7793,GOOD,9
472,4,127.82628,GOOD,9
473,4,144.13602,GOOD,9
474,4,140.81013,GOOD,9
475,4,142.94585,GOOD,9
476,4,131.09778,GOOD,9
477,4,118.8681,GOOD,9
478,4,124.223816,GOOD,9
479,4,112.4193,GOOD,9
480,4,110.02083,GOOD,9
481,4,115.00279,GOOD,9
482,4,124.11156,GOOD,9
483,4,178.58418,GOOD,10
484,4,152.27425,GOOD,9
485,4,151.98526,GOOD,9
486,4,167.10468,GOOD,10
487,4,137.66876,GOOD,9
488,4,171.59436,GOOD,10
489,4,159.61633,GOOD,9
490,4,162.02214,GOOD,10
491,4,147.31575,GOOD,9
492,4,124.99585,GOOD,9
493,4,106.16585,GOOD,9
494,4,99.15451,GOOD,9
495,4,113.62952,GOOD,9
496,4,123.777466,GOOD,9
497,4,135.8889,GOOD,9
498,4,129.35016,GOOD,9
499,4,133.54796,GOOD,9
500,4,129.99864,GOOD,9
501,4,110.62927,GOOD,9
502,4,118.191925,GOOD,9
503,4,114.56807,GOOD,9
504,4,131.48775,GOOD,9
505,4,123.751144,GOOD,9
506,4,127.583374,GOOD,9
507,4,131.01187,GOOD,9
508,4,136.13916,GOOD,9
509,4,132.03078,GOOD,9
510,4,142.23424,GOOD,9
511,4,145.62349,GOOD,9
512,4,149.9868,GOOD,9
513,4,151.22447,GOOD,9
514,4,158.78316,GOOD,9
515,4,154.94101,GOOD,9
516,4,147.44168,GOOD,9
517,4,148.7241,GOOD,9
518,4,147.39554,GOOD,9
519,4,148.33339,GOOD,9
520,4,149.02213,GOOD,9
521,4,154.16304,GOOD,9
522,4,154.65825,GOOD,9
523,4,155.53444,GOOD,9
524,4,158.24673,GOOD,9
525,4,159.80447,GOOD,9
526,4,160.8373,GOOD,10
527,4,164.03946,GOOD,10
528,4,110.61014,GOOD,9
529,4,119.225235,GOOD,9
530,4,117.602234,GOOD,9
531,4,115.18974,GOOD,9
532,4,109.35626,GOOD,9
533,4,110.731735,GOOD,9
534,4,111.50041,GOOD,9
535,4,110.46767,GOOD,9
536,4,107.260864,GOOD,9
537,4,105.70546,GOOD,9
538,4,99.99188,GOOD,9
539,4,102.17987,GOOD,9
540,4,94.03766,GOOD,9
541,5,87.69559,RISK,6
542,5,91.19147,GOOD,9
543,5,90.41519,GOOD,9
544,5,91.71353,GOOD,9
545,5,94.18173,GOOD,9
546,5,100.69006,GOOD,9
547,5,99.67679,GOOD,9
548,5,105.0444,GOOD,9
549,5,98.426544,GOOD,9
550,5,127.14821,GOOD,9
551,5,107.949036,GOOD,9
552,5,113.884125,GOOD,9
553,5,112.55147,GOOD,9
554,5,89.48767,RISK,6
555,5,118.7316,GOOD,9
556,5,143.23483,GOOD,9
557,5,138.07274,GOOD,9
558,5,113.97067,GOOD,9
559,5,144.60378,GOOD,9
560,5,146.52077,GOOD,9
561,5,110.17885,GOOD,9
562,5,101.951904,GOOD,9
563,5,111.76427,GOOD,9
564,5,133.95491,GOOD,9
565,5,128.88763,GOOD,9
566,5,114.952194,GOOD,9
567,5,104.85899,GOOD,9
568,5,136.24176,GOOD,9
569,5,114.597565,GOOD,9
570,5,124.48291,GOOD,9
571,5,124.03024,GOOD,9
572,5,124.7401,GOOD,9
573,5,122.36711,GOOD,9
574,5,117.53667,GOOD,9
575,5,121.26903,GOOD,9
576,5,121.86261,GOOD,9
577,5,119.52823,GOOD,9
578,5,136.14714,GOOD,9
579,5,148.10573,GOOD,9
580,5,112.51138,GOOD,9
581,5,140.9668,GOOD,9
582,5,133.00511,GOOD,9
583,5,107.62132,GOOD,9
584,5,104.37094,GOOD,9
585,5,103.138336,GOOD,9
586,5,128.06154,GOOD,9
587,5,111.502914,GOOD,9
588,5,119.44266,GOOD,9
589,5,144.62015,GOOD,9
590,5,171.07327,GOOD,10
591,5,159.66132,GOOD,9
592,5,134.62105,GOOD,9
593,5,143.50197,GOOD,9
594,5,146.1143,GOOD,9
595,5,148.18329,GOOD,9
596,5,151.14246,GOOD,9
597,5,138.09384,GOOD,9
598,5,125.044876,GOOD,9
599,5,122.17694,GOOD,9
600,5,156.44946,GOOD,9
601,5,155.48224,GOOD,9
602,5,154.59172,GOOD,9
603,5,154.64703,GOOD,9
604,5,172.21341,GOOD,10
605,5,160.05841,GOOD,10
606,5,167.00156,GOOD,10
607,5,167.10095,GOOD,10
608,5,166.49486,GOOD,10
609,5,166.58339,GOOD,10
610,5,132.10272,GOOD,9
611,5,177.51054,GOOD,10
612,5,176.36238,GOOD,10
613,5,176.91058,GOOD,10
614,5,176.27118,GOOD,10
615,5,176.8335,GOOD,10
616,5,127.86174,GOOD,9
617,5,120.659256,GOOD,9
618,5,123.77803,GOOD,9
619,5,119.75166,GOOD,9
620,6,78.62964,RISK,6
621,6,97.83722,GOOD,9
622,6,135.67226,GOOD,9
623,6,133.51144,GOOD,9
624,6,137.85963,GOOD,9
625,6,138.00757,GOOD,9
626,6,145.7022,GOOD,9
627,6,148.25098,GOOD,9
628,6,150.76283,GOOD,9
629,6,93.158165,GOOD,9
630,6,90.83319,GOOD,9
631,6,85.881096,RISK,6
632,6,83.548744,RISK,6
633,6,89.96022,RISK,6
634,6,92.864235,GOOD,9
635,6,146.35155,GOOD,9
636,6,144.29945,GOOD,9
637,6,145.02347,GOOD,9
638,6,144.18042,GOOD,9
639,6,150.18582,GOOD,9
640,6,143.94312,GOOD,9
641,6,66.5405,RISK,6
642,6,125.28815,GOOD,9
643,6,124.35593,GOOD,9
644,6,135.63098,GOOD,9
645,6,122.78464,GOOD,9
646,6,126.60898,GOOD,9
647,6,116.52272,GOOD,9
648,6,118.37073,GOOD,9
649,6,123.69055,GOOD,9
650,6,124.08571,GOOD,9
651,6,125.865265,GOOD,9
652,6,128.99257,GOOD,9
653,6,126.416275,GOOD,9
654,6,128.25684,GOOD,9
655,6,129.0812,GOOD,9
656,6,133.24396,GOOD,9
657,6,133.89702,GOOD,9
658,6,136.14897,GOOD,9
659,6,141.75958,GOOD,9
660,6,140.48697,GOOD,9
661,6,142.64911,GOOD,9
662,6,141.77174,GOOD,9
663,6,143.49783,GOOD,9
664,6,150.99951,GOOD,9
665,6,148.83684,GOOD,9
666,6,148.51662,GOOD,9
667,6,153.60217,GOOD,9
668,6,157.86728,GOOD,9
669,6,158.19006,GOOD,9
670,6,158.4481,GOOD,9
671,6,161.06659,GOOD,10
672,6,164.84883,GOOD,10
673,6,167.37064,GOOD,10
674,6,162.75806,GOOD,10
675,6,162.91258,GOOD,10
676,6,163.30591,GOOD,10
677,6,168.63606,GOOD,10
678,6,162.17418,GOOD,10
679,6,158.98737,GOOD,9
